timestamp,machine_id,production_output_kg,energy_consumption_kwh,downtime_minutes,vibration_level,temperature,pressure,defect_rate,qc_status,waste_generated_kg,shift,maintenance_required,machine_health_score,maintenance_risk_score,risk_category
2025-01-01 00:05:00,MCH_002,775.42,195.56,23.96,2.7,75.89,6.26,1.52,PASS,16.23,Night,No,91.18,18.333421990531413,Low
2025-01-01 00:18:00,MCH_002,811.01,298.58,86.43,3.91,76.6,5.27,2.45,PASS,30.9,Night,No,71.58,44.1832012341082,Medium
2025-01-01 00:35:00,MCH_012,1049.08,266.36,12.44,2.47,73.45,4.54,0.0,PASS,0.0,Night,No,97.76,12.641629873929466,Low
2025-01-01 00:42:00,MCH_012,998.72,215.5,11.25,2.09,73.89,5.05,0.11,PASS,1.41,Night,No,97.7,12.14027341879887,Low
2025-01-01 01:01:00,MCH_002,891.16,237.16,35.59,2.64,72.41,4.79,1.15,PASS,9.44,Night,No,90.72,21.55300813873079,Low
2025-01-01 01:11:00,MCH_015,922.44,280.71,19.33,1.99,74.25,5.2,1.45,PASS,17.01,Night,No,92.9,15.45427948295122,Low
2025-01-01 01:34:00,MCH_004,916.11,324.8,98.13,4.1,71.92,4.97,2.79,PASS,26.77,Night,Yes,68.76,47.08495132719827,Medium
2025-01-01 01:41:00,MCH_007,954.06,211.1,3.35,2.95,60.24,4.84,2.04,PASS,20.04,Night,No,94.3,4.000212777275386,Low
2025-01-01 01:59:00,MCH_012,1125.61,319.21,26.86,2.92,71.31,5.35,0.03,PASS,0.33,Night,No,95.09,17.78020107452524,Low
2025-01-01 02:12:00,MCH_008,968.51,252.86,9.36,2.48,78.34,5.67,0.0,PASS,0.0,Night,No,95.64,13.369062184158734,Low
2025-01-01 02:25:00,MCH_004,1085.92,279.16,21.89,2.53,67.94,5.81,3.04,PASS,30.09,Night,No,88.46,14.24543858715889,Low
2025-01-01 02:49:00,MCH_015,1037.14,287.72,29.18,2.21,70.14,5.67,2.97,PASS,44.95,Night,No,87.32,17.86132241076653,Low
2025-01-01 02:57:00,MCH_005,871.73,222.9,12.25,2.67,65.36,4.9,2.78,PASS,31.43,Night,No,90.85,9.444651311239966,Low
2025-01-01 03:19:00,MCH_007,865.67,223.67,34.27,2.75,78.02,5.68,1.03,PASS,11.23,Night,No,88.84,23.323049098356297,Low
2025-01-01 03:26:00,MCH_003,1041.9,264.76,22.34,3.88,71.79,6.28,0.0,PASS,0.0,Night,No,90.7,16.679078674397584,Low
2025-01-01 03:47:00,MCH_009,899.2,285.76,27.86,2.86,70.21,5.55,0.0,PASS,0.0,Night,No,94.98,17.708388744082132,Low
2025-01-01 04:03:00,MCH_013,912.77,196.71,15.36,3.05,80.87,5.24,0.83,PASS,8.42,Night,No,90.16,17.07537634980584,Low
2025-01-01 04:14:00,MCH_009,1106.57,230.93,11.98,3.44,73.97,5.24,2.42,PASS,32.84,Night,No,89.15,13.181552210223952,Low
2025-01-01 04:33:00,MCH_010,847.78,199.59,19.16,3.48,67.79,5.34,1.33,PASS,16.96,Night,No,90.35,13.601787329113252,Low
2025-01-01 04:40:00,MCH_010,563.16,417.16,171.93,3.01,73.57,5.5,1.52,PASS,19.34,Night,Yes,65.19,76.60646842917177,High
2025-01-01 04:55:00,MCH_004,1199.47,227.42,1.02,2.51,69.94,5.1,1.61,PASS,21.11,Night,No,95.79,6.706473748603653,Low
2025-01-01 05:18:00,MCH_013,829.86,267.86,22.85,4.12,73.05,5.63,1.71,PASS,13.84,Night,No,84.89,17.512899622320337,Low
2025-01-01 05:34:00,MCH_007,1235.75,315.77,0.0,2.78,72.36,6.73,1.57,PASS,23.55,Night,No,96.08,7.408638757380709,Low
